"speaker","year","gender","cons","inn","total"
"avm1922",1922,"f",37,1,38
"ans1925",1925,"f",50,7,57
"avt1928",1928,"f",11,0,11
"egp1928",1928,"f",70,6,76
"lpp1928",1928,"f",2,0,2
"pfp1928",1928,"f",96,1,97
"sek1930",1930,"m",69,1,70
"mdn1933",1933,"f",33,2,35
"opsh1935",1935,"f",4,0,4
"lso1941",1941,"f",12,1,13
"lgp1947",1947,"f",14,8,22
"gvp1949",1949,"f",6,18,24
"mgb1949",1949,"f",7,25,32
"iip1951",1951,"m",21,5,26
"ffp1952",1952,"m",1,29,30
"njae1952",1952,"m",11,1,12
"nvt1952",1952,"m",29,2,31
"ofsh1952",1952,"f",6,0,6
"ait1954",1954,"f",5,11,16
"npo1954",1954,"m",15,0,15
"ppp1955",1955,"m",18,3,21
"ipm1956",1956,"m",12,8,20
"ndo1958",1958,"f",17,10,27
"nnt1960",1960,"f",4,15,19
"nfm1961",1961,"f",2,30,32
"vap1963",1963,"f",0,57,57
"npo1965",1965,"m",3,12,15
"vkch1966",1966,"m",14,1,15
"ent1968",1968,"f",0,34,34
"juap1969",1969,"m",7,6,13
"nap1974",1974,"f",4,10,14
"svp1975",1975,"m",3,55,58
"vsp1996",1996,"f",1,7,8
