"speaker","year","gender","cons","inn","total"
"avm1922",1922,"f",75,9,84
"ans1925",1925,"f",93,17,110
"avt1928",1928,"f",0,13,13
"egp1928",1928,"f",25,32,57
"lpp1928",1928,"f",13,5,18
"pfp1928",1928,"f",68,6,74
"sek1930",1930,"m",43,13,56
"mdn1933",1933,"f",23,15,38
"opsh1935",1935,"f",15,32,47
"lso1941",1941,"f",28,7,35
"lgp1947",1947,"f",5,95,100
"gvp1949",1949,"f",7,11,18
"mgb1949",1949,"f",35,29,64
"iip1951",1951,"m",15,21,36
"nvt1952",1952,"m",38,64,102
"njae1952",1952,"m",3,15,18
"ofsh1952",1952,"f",0,19,19
"ffp1952",1952,"m",0,4,4
"ait1954",1954,"f",11,21,32
"npo1954",1954,"m",11,3,14
"ppp1955",1955,"m",6,12,18
"ipm1956",1956,"m",11,21,32
"ndo1958",1958,"f",1,28,29
"nnt1960",1960,"f",1,16,17
"vap1963",1963,"f",0,38,38
"npo1965",1965,"m",6,9,15
"vkch1966",1966,"m",10,14,24
"ent1968",1968,"f",0,24,24
"juap1969",1969,"m",1,12,13
"nap1974",1974,"f",1,15,16
"svp1975",1975,"m",0,24,24
"vsp1996",1996,"f",0,5,5
