speaker,year,gender,cons,inn,total
avm1922,1922,f,92,60,152
mik1922,1922,f,38,68,106
ans1925,1925,f,56,70,126
avt1928,1928,f,12,46,58
egp1928,1928,f,33,127,160
lpp1928,1928,f,2,23,25
pfp1928,1928,f,83,127,210
sek1930,1930,m,22,41,63
mdn1933,1933,f,22,88,110
opsh1935,1935,f,33,85,118
lso1941,1941,f,60,103,163
lgp1947,1947,f,58,200,258
gvp1949,1949,f,11,73,84
mgb1949,1949,f,55,70,125
iip1951,1951,m,8,52,60
nvt1952,1952,m,30,88,118
njae1952,1952,m,0,19,19
ofsh1952,1952,f,44,42,86
ffp1952,1952,m,1,19,20
ait1954,1954,f,21,59,80
npo1954,1954,m,6,29,35
ppp1955,1955,m,7,29,36
ipm1956,1956,m,3,36,39
ndo1958,1958,f,24,85,109
nnt1960,1960,f,8,143,151
nfm1961,1961,f,6,74,80
vap1963,1963,f,12,63,75
npo1965,1965,m,11,127,138
vkch1966,1966,m,5,47,52
ent1968,1968,f,1,28,29
juap1969,1969,m,1,9,10
nap1974,1974,f,1,14,15
svp1975,1975,m,5,57,62
vsp1996,1996,f,0,2,2
