"speaker","year","gender","cons","inn","total"
"avm1922",1922,"f",57,78,135
"ans1925",1925,"f",80,135,215
"avt1928",1928,"f",1,51,52
"egp1928",1928,"f",15,141,156
"lpp1928",1928,"f",5,24,29
"pfp1928",1928,"f",66,99,165
"sek1930",1930,"m",48,53,101
"mdn1933",1933,"f",33,43,76
"opsh1935",1935,"f",20,79,99
"lso1941",1941,"f",134,110,244
"lgp1947",1947,"f",18,180,198
"gvp1949",1949,"f",4,32,36
"mgb1949",1949,"f",13,91,104
"iip1951",1951,"m",12,45,57
"ffp1952",1952,"m",0,23,23
"njae1952",1952,"m",3,7,10
"nvt1952",1952,"m",8,102,110
"ofsh1952",1952,"f",17,50,67
"ait1954",1954,"f",19,53,72
"npo1954",1954,"m",9,30,39
"ppp1955",1955,"m",10,17,27
"ipm1956",1956,"m",7,47,54
"ndo1958",1958,"f",5,45,50
"nnt1960",1960,"f",0,118,118
"nfm1961",1961,"f",0,4,4
"vap1963",1963,"f",1,31,32
"npo1965",1965,"m",1,13,14
"vkch1966",1966,"m",14,66,80
"ent1968",1968,"f",0,41,41
"juap1969",1969,"m",0,16,16
"nap1974",1974,"f",0,29,29
"svp1975",1975,"m",0,87,87
"vsp1996",1996,"f",0,15,15
