speaker,year,gender,cons,inn,total
avm1922,1922,f,157,2,159
mik1922,1922,f,94,0,94
ans1925,1925,f,144,2,146
avt1928,1928,f,38,1,39
egp1928,1928,f,166,1,167
lpp1928,1928,f,26,0,26
pfp1928,1928,f,177,2,179
sek1930,1930,m,209,5,214
mdn1933,1933,f,145,0,145
opsh1935,1935,f,83,1,84
lso1941,1941,f,195,7,202
lgp1947,1947,f,104,4,108
gvp1949,1949,f,57,4,61
mgb1949,1949,f,101,0,101
iip1951,1951,m,32,1,33
nvt1952,1952,m,80,1,81
njae1952,1952,m,17,0,17
ofsh1952,1952,f,60,1,61
ffp1952,1952,m,54,4,58
ait1954,1954,f,83,4,87
npo1954,1954,m,45,0,45
ppp1955,1955,m,106,10,116
ipm1956,1956,m,24,3,27
ndo1958,1958,f,131,3,134
nnt1960,1960,f,36,5,41
nfm1961,1961,f,18,136,154
vap1963,1963,f,20,71,91
npo1965,1965,m,13,0,13
vkch1966,1966,m,68,4,72
ent1968,1968,f,1,59,60
juap1969,1969,m,9,1,10
nap1974,1974,f,1,40,41
svp1975,1975,m,8,69,77
vsp1996,1996,f,0,20,20
