"speaker","year","gender","cons","inn","total"
"avm1922",1922,"f",53,7,60
"ans1925",1925,"f",24,2,26
"avt1928",1928,"f",1,0,1
"egp1928",1928,"f",36,3,39
"pfp1928",1928,"f",66,1,67
"sek1930",1930,"m",22,3,25
"mdn1933",1933,"f",43,30,73
"opsh1935",1935,"f",26,0,26
"lso1941",1941,"f",51,5,56
"lgp1947",1947,"f",21,38,59
"gvp1949",1949,"f",2,5,7
"mgb1949",1949,"f",26,33,59
"iip1951",1951,"m",13,3,16
"nvt1952",1952,"m",23,1,24
"njae1952",1952,"m",6,0,6
"ofsh1952",1952,"f",16,3,19
"ffp1952",1952,"m",1,13,14
"ait1954",1954,"f",9,5,14
"npo1954",1954,"m",42,1,43
"ppp1955",1955,"m",9,1,10
"ipm1956",1956,"m",17,2,19
"ndo1958",1958,"f",21,11,32
"nnt1960",1960,"f",6,54,60
"nfm1961",1961,"f",0,38,38
"vap1963",1963,"f",0,52,52
"npo1965",1965,"m",3,62,65
"vkch1966",1966,"m",6,0,6
"ent1968",1968,"f",0,37,37
"juap1969",1969,"m",1,7,8
"nap1974",1974,"f",0,16,16
"svp1975",1975,"m",0,18,18
"vsp1996",1996,"f",0,4,4
