"speaker","year","gender","cons","inn","total"
"avm1922",1922,"f",91,12,103
"ans1925",1925,"f",54,10,64
"avt1928",1928,"f",15,2,17
"egp1928",1928,"f",26,10,36
"lpp1928",1928,"f",4,1,5
"pfp1928",1928,"f",80,14,94
"sek1930",1930,"m",36,7,43
"mdn1933",1933,"f",18,48,66
"opsh1935",1935,"f",8,29,37
"lso1941",1941,"f",42,45,87
"lgp1947",1947,"f",16,35,51
"mgb1949",1949,"f",18,37,55
"gvp1949",1949,"f",1,16,17
"iip1951",1951,"m",5,6,11
"nvt1952",1952,"m",11,15,26
"njae1952",1952,"m",0,5,5
"ofsh1952",1952,"f",4,33,37
"ffp1952",1952,"m",7,7,14
"ait1954",1954,"f",4,8,12
"npo1954",1954,"m",0,41,41
"ppp1955",1955,"m",4,51,55
"ipm1956",1956,"m",1,23,24
"ndo1958",1958,"f",2,28,30
"nnt1960",1960,"f",2,19,21
"nfm1961",1961,"f",0,50,50
"vap1963",1963,"f",1,23,24
"npo1965",1965,"m",5,20,25
"vkch1966",1966,"m",0,16,16
"ent1968",1968,"f",0,3,3
"nap1974",1974,"f",0,8,8
"svp1975",1975,"m",0,34,34
"vsp1996",1996,"f",0,2,2
