speaker,year,gender,cons,inn,total
avm1922,1922,f,87,7,94
mik1922,1922,f,16,25,41
ans1925,1925,f,6,40,46
avt1928,1928,f,8,0,8
egp1928,1928,f,26,3,29
lpp1928,1928,f,12,1,13
pfp1928,1928,f,22,33,55
sek1930,1930,m,16,5,21
mdn1933,1933,f,43,10,53
opsh1935,1935,f,11,8,19
lso1941,1941,f,38,16,54
lgp1947,1947,f,15,15,30
mgb1949,1949,f,18,10,28
gvp1949,1949,f,12,0,12
iip1951,1951,m,9,1,10
nvt1952,1952,m,22,8,30
njae1952,1952,m,1,1,2
ofsh1952,1952,f,10,11,21
ffp1952,1952,m,5,2,7
ait1954,1954,f,6,5,11
npo1954,1954,m,16,1,17
ppp1955,1955,m,18,5,23
ipm1956,1956,m,11,0,11
ndo1958,1958,f,7,5,12
nnt1960,1960,f,6,2,8
nfm1961,1961,f,0,19,19
vap1963,1963,f,3,9,12
npo1965,1965,m,5,5,10
vkch1966,1966,m,12,2,14
juap1969,1969,m,0,2,2
nap1974,1974,f,0,4,4
svp1975,1975,m,0,3,3
vsp1996,1996,f,0,3,3
